100	 658947	134382
200	 397914	116968
300	 220397	20130
400	 239819	49269
500	 293666	70606
600	 150523	13842
700	 130115	21431
800	 104719	3048
900	 128681	14019
1000	 103328	9115
1100	 103405	7069
1200	 113072	7317
1300	 98667	1255
1400	 118711	4953
1500	 109728	15821
1600	 232317	7825
1700	 405247	17965
1800	 70634	470
1900	 71526	3135
2000	 68989	4561
2100	 67601	1241
2200	 77148	3489
2300	 68121	4923
2400	 83558	4005
2500	 61171	3072
2600	 83895	1031
2700	 61708	2357
2800	 60721	3694
2900	 63549	1407
3000	 69413	2691
3100	 57690	532
3200	 69233	2072
3300	 60618	4709
3400	 58811	1269
3500	 55463	1998
3600	 81604	326
3700	 54625	1375
3800	 67853	2989
3900	 65192	955
4000	 54039	1886
4100	 53179	151
4200	 60138	1272
4300	 76401	2638
4400	 69304	805
4500	 60599	1765
4600	 80144	3339
4700	 56066	1110
4800	 58690	2306
4900	 56948	490
5000	 81741	2028
5100	 54072	1801
5200	 50287	644
5300	 56941	1386
5400	 48576	231
5500	 72201	1071
5600	 51290	1732
5700	 62365	613
5800	 50238	1321
5900	 48250	143
6000	 62719	1093
6100	 53254	1656
6200	 48108	470
6300	 72237	1365
6400	 52613	52
6500	 48288	797
6600	 68148	2391
6700	 48520	358
6800	 77313	1576
6900	 55770	1860
7000	 65239	919
7100	 60688	1374
7200	 48599	292
7300	 409137	4952
7400	 399448	6027
7500	 73316	543
7600	 56901	2999
7700	 48510	205
7800	 71327	1076
7900	 74070	1932
8000	 50914	531
8100	 72378	2459
8200	 49070	115
8300	 52729	988
8400	 54710	1596
8500	 47279	441
8600	 70986	1199
8700	 51012	1918
8800	 50779	763
8900	 67356	1418
9000	 67445	349
9100	 70104	1110
9200	 53342	3931
9300	 52526	675
9400	 50561	1419
9500	 82738	284
9600	 84238	1151
9700	 79623	1966
9800	 135481	1401
9900	 123291	2649
